POA_CODE_2016,Equal Weighted Score,Disabled Score,Indigenous Score,Senior's Score,Youth Score,Number of people under Median income,Number of Households with more than 3 people,Number of households with 1 or less cars,Number of people aged 14 and old with a disability,Number of people aged 55+,Number Of Immigrants arrived since 2011,Number of 15-24 Year Olds,Number of people who travel to work ONLY by Taxi,Total Indigenous Population,Single Parent Families with Children under 15,Total Population
2113,0.23147392,0.18028414,0.19689765,0.18173877,0.36697513,0.20788199,0.72794418,0.40422756,0.15268630,0.32309542,0.20088727,0.12784680,0.04038212,0.00340258,0.11187098,0.17207847
2114,0.24501170,0.17189903,0.23367354,0.19180784,0.38266640,0.24266326,0.70611205,0.46285234,0.10113480,0.28669752,0.24333181,0.11903798,0.09691815,0.00383148,0.12723569,0.22534710
2115,0.23789363,0.22162848,0.16885482,0.19992557,0.36116564,0.26499488,0.75991897,0.29683909,0.17826208,0.32088680,0.09186303,0.12290963,0.07896433,0.01302507,0.18835674,0.10056023
2116,0.23641699,0.21450617,0.17471522,0.17731078,0.37913577,0.30751280,0.75640808,0.31989976,0.12149955,0.30675344,0.11399679,0.13272245,0.04786811,0.00925163,0.19750349,0.06219670
2117,0.23628996,0.20010571,0.20022203,0.17930472,0.36552738,0.27716702,0.73728858,0.31637909,0.12304440,0.31877670,0.12678725,0.13127481,0.03983275,0.00796408,0.18181178,0.19937794
2118,0.24380932,0.19816359,0.19340095,0.21085385,0.37281887,0.28959369,0.81108521,0.25321673,0.10673349,0.35639815,0.17820413,0.13737987,0.06530956,0.00278568,0.15090140,0.22800772
2119,0.19999564,0.14114704,0.11541608,0.22152747,0.32189197,0.14727733,0.79005089,0.20279110,0.13501675,0.41574754,0.07794383,0.14744855,0.02730740,0.00254790,0.09952527,0.10904798
2120,0.20486969,0.12934853,0.15526671,0.19696934,0.33789417,0.15819230,0.78426551,0.26876293,0.10050475,0.35722748,0.08591482,0.14035595,0.03671120,0.00482340,0.10548815,0.18928819
2121,0.23252644,0.15516676,0.20642227,0.18785998,0.38065676,0.22643900,0.80643475,0.33308104,0.08389452,0.33064447,0.24386829,0.15667226,0.04507549,0.00187756,0.13251158,0.26429147
2122,0.26016072,0.19744464,0.23908684,0.21380468,0.39030670,0.26356707,0.73572689,0.39833948,0.13132221,0.33917933,0.30365319,0.16359337,0.08843004,0.00255008,0.13682314,0.29189073
2125,0.19400559,0.11906834,0.11485645,0.22216992,0.31992765,0.15055881,0.82778719,0.15277958,0.08757787,0.39256019,0.05878222,0.14858501,0.05177965,0.00271759,0.08278646,0.15336981
2126,0.20759458,0.14593658,0.13576573,0.20475110,0.34392489,0.17516653,0.85008993,0.18924731,0.11670663,0.37561572,0.10942357,0.16119578,0.03388649,0.00287946,0.09787079,0.17576961
2127,0.19416733,0.12358072,0.19989642,0.10871149,0.34448071,0.20690545,0.61844550,0.45226552,0.04025599,0.16637288,0.22166024,0.10030637,0.05105010,0.00430146,0.14067231,0.13611325
2128,0.12155523,0.08986438,0.11635075,0.06563644,0.21436937,0.15164426,0.38611678,0.18193363,0.02808449,0.13127287,0.13246119,0.13778281,0.00000000,0.09282454,0.09184197,0.03900058
2130,0.23182162,0.13956709,0.20611496,0.22504158,0.35656284,0.13838736,0.57393824,0.60775411,0.14074682,0.26163561,0.13466010,0.10617163,0.18844754,0.00985420,0.16597344,0.06846415
2131,0.26513425,0.20608930,0.25193467,0.20911321,0.39339982,0.24167401,0.65426419,0.53598639,0.17050459,0.29820378,0.32320372,0.14167469,0.12002265,0.00675474,0.13939318,0.22332353
2132,0.25571567,0.22418017,0.18287325,0.24610376,0.36970549,0.25245006,0.72051098,0.37356371,0.19591029,0.37236582,0.11488566,0.13229722,0.11984169,0.00609006,0.15246034,0.09938918
2133,0.24475021,0.20059935,0.18649988,0.21246826,0.37943337,0.26743552,0.75229863,0.36830789,0.13376317,0.32869606,0.08990193,0.12969143,0.09624046,0.00711959,0.16578402,0.10313653
2134,0.26243015,0.21435477,0.23864850,0.16018270,0.43653461,0.29922660,0.71332564,0.50314372,0.12948294,0.26748447,0.50655939,0.23044250,0.05288093,0.00204850,0.12272982,0.15017519
2135,0.23707758,0.18012158,0.20817279,0.17588912,0.38412683,0.23062453,0.75350481,0.36280646,0.12961863,0.29721645,0.36048077,0.18957152,0.05456180,0.00272724,0.09957301,0.23653295
2136,0.24232039,0.20247148,0.16903868,0.21936533,0.37840609,0.26317219,0.76071938,0.33913021,0.14177078,0.33798922,0.11252942,0.15060257,0.10074144,0.00489164,0.18704632,0.06896067
2137,0.24032933,0.16930905,0.19935764,0.24765638,0.34499425,0.21378315,0.71422172,0.32971205,0.12483495,0.35937432,0.11764817,0.12226009,0.13593843,0.00563570,0.14929333,0.24829964
