POA_CODE_2016,Total Population,Single Parent Families with Children under 15,Total Indigenous Population,Only method to work is Taxi,Number of 15-24 Year Olds,Total Number Of Immigrants since 2011,55 and Older who need assistance (disabled),Number of households with 1 or less cars,Number of Households with more than 3 people
2663,5186,113,448,0,631,110,175,613,574
2665,2226,34,76,0,197,0,75,258,271
2666,5673,119,135,3,611,30,248,862,706
2668,459,14,27,0,42,0,22,59,61
2669,1654,29,59,0,160,6,52,172,193
2671,4112,89,210,0,419,63,120,600,469
2672,1576,45,331,0,191,19,62,213,192
2675,1562,25,133,0,191,72,54,193,192
2678,340,0,5,0,310,15,0,0,0
2680,23940,477,1172,20,2971,1189,941,2889,3429
2681,1732,32,51,0,188,15,36,174,245
2700,4922,130,502,0,529,65,269,754,584
2701,2388,60,71,0,270,0,88,250,332
2702,779,13,39,0,64,3,17,95,95
2703,984,21,48,0,270,0,31,106,77
2705,10153,234,581,4,1265,222,383,1272,1352
2706,1162,36,184,0,125,17,44,153,163
2707,1348,24,57,0,172,20,43,139,175
2710,10123,213,404,0,1073,163,424,1540,1159
2711,3360,73,192,0,373,46,103,451,387
2712,1356,26,29,0,132,0,69,227,142
2713,2797,56,83,0,293,56,147,435,303
2714,2769,56,54,0,187,23,135,459,278
2715,1477,33,169,0,161,16,51,209,188
2716,1102,18,37,0,108,20,52,155,128
2717,1330,45,362,0,169,3,49,180,165
2720,8012,177,347,3,851,79,241,1169,1016
2721,240,0,7,0,15,0,10,17,36
2722,3207,77,141,0,376,21,128,452,412
2725,374,7,6,0,20,0,22,47,37
2726,222,0,3,0,23,0,6,21,21
2727,350,7,3,0,45,0,6,22,50
2729,1696,30,58,0,156,3,40,198,221
2730,1391,26,40,0,122,64,66,226,153
2731,6410,105,239,0,573,76,309,924,787
2732,1776,27,38,0,138,9,112,275,176
2733,545,16,15,0,35,16,24,75,56
2734,456,0,8,0,58,0,3,19,63
2735,448,3,10,0,54,0,7,46,56
2736,377,3,8,0,37,8,11,38,35
2737,839,11,45,0,112,17,16,80,113
2738,1667,19,32,0,163,4,17,119,256
2739,1401,32,97,0,155,3,27,164,179
2745,29504,602,704,6,4193,500,492,2047,5510
2747,42421,1201,1907,19,5662,1637,1150,5806,7012
2748,1877,30,22,0,330,5,65,77,325
2749,16930,475,827,5,2526,186,343,1534,2995
2750,44806,1190,1760,31,5450,967,1865,7353,6770
2752,4918,94,173,4,721,23,89,292,877
2753,17134,358,658,13,2478,238,671,1971,2600
2754,5693,133,241,3,764,49,220,670,893
2755,261,0,3,0,105,0,0,0,0
2756,33932,793,1435,12,4715,280,736,3098,5746
2757,852,16,27,0,115,0,16,66,135
2758,8715,97,204,0,1129,29,210,491,1403
2759,26332,586,737,15,4015,563,604,2002,4846
2760,33834,1080,1505,24,4571,1801,1236,5242,5394
2761,30952,707,745,18,4953,1491,833,2520,5927
2762,4983,102,101,8,614,288,85,503,917
2763,30880,603,518,24,4147,1821,693,3075,6033
2765,16106,316,724,3,2209,258,432,1352,2477
2766,15534,290,260,7,2263,1170,812,1611,2745
2767,22530,542,783,21,3303,1421,748,2679,4227
2768,28762,370,344,30,4041,1555,515,2120,5656
2769,11731,128,67,8,1083,886,166,734,2472
2770,61296,2606,4187,51,9391,3938,2381,9342,10177
